StarID,ProperName,X,Y,Z
732,,234.04664,9.24424,-105.93107
733,,145.89537,5.76597,60.97003
734,,61.12998,2.4169,-102.9556
735,,46.98013,1.85809,40.64587
736,,20.76924,0.82193,-10.64671
737,,203.59732,8.05743,-109.84937
738,,107.60655,4.2616,39.03595
739,,7287.80967,289.3339,-5426.66971
740,,212.79357,8.46014,-259.33542
741,,468.68399,18.65279,-559.2681
742,,203.18899,8.11004,-243.78169
743,,116.1873,4.64286,-91.79775
744,Caph,8.55533,0.34242,14.33485
745,,147.90887,5.92091,146.59701
746,,158.85168,6.36922,61.21551
747,,195.44987,7.84268,-119.76159
748,,58.19248,2.33553,57.67845
749,,162.18604,6.5247,147.4613
750,,154.18293,6.20359,-2.02591
751,,47.48867,1.91662,30.25104
752,,40.93685,1.65503,19.3511
753,,24.73005,1.0015,53.24893
754,,156.28768,6.34608,-119.51553
755,,260.76681,10.59834,-435.3855
756,,95.98121,3.90478,-86.14918
757,,49.41639,2.01155,15.62633
758,,20.84145,0.84896,114.94517
759,,60.55675,2.472,-32.209
760,,63.37851,2.59756,-55.22633
761,,365.90938,14.99679,601.51373
762,,153.11586,6.28225,39.39691
763,,29.95017,1.23028,-30.7674
764,,131.81482,5.41521,0.16599
765,,138.94857,5.73838,145.97303
766,,68.40966,2.82725,23.7302
767,,237.27113,9.80666,5.15691
768,,519.7792,21.49021,-110.91077
769,,472.78238,19.62322,-85.03407
770,,50.87588,2.11268,-34.48921
771,,175.64993,7.29802,62.45915
772,,425.87208,17.7319,-365.97166
773,,88.82025,3.71031,-199.94669
774,,227.50217,9.51736,-238.90157
775,,113.87474,4.76629,-44.62449
776,,139.0399,5.83043,-176.44428
777,,96.37508,4.04187,186.63013
778,,306.77904,12.86761,154.30905
779,,443.60988,18.60975,559.52482
780,,171.05263,7.21039,-255.66298
781,,8465643.67807,357122.75915,-5310870.02767
782,,982.4557,41.55352,1529.32639
783,,103.10884,4.36154,-207.80316
784,,115.16022,4.87369,-87.8542
785,,35.57829,1.5108,-22.10082
786,,159.78217,6.78661,-10.28175
787,,5021.23828,214.22577,3715.34297
788,,54.25613,2.32323,-47.029
789,,167.69882,7.18086,59.04862
790,,79.10451,3.38841,-9.49898
791,,166.35901,7.14184,225.24748
792,,48.61411,2.08756,-32.56038
793,,363.74222,15.6533,670.94202
794,,69.54405,2.99387,10.34493
795,,213.82259,9.20747,43.2174
796,,63.02035,2.71523,-120.13133
797,,274.44348,11.83085,344.39262
798,,188.14433,8.11115,42.47698
799,,33.96841,1.46554,-40.90639
800,,654.94251,28.35635,55.42298
801,,372.41266,16.12471,-16.67425
802,,23.64033,1.02591,-117.25341
803,,160.0318,6.94911,-158.32856
804,,586.12791,25.46749,42.73441
